                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3149,                 3.7252,                 1.8483,                0.90071,                0.85453,                0.91145,                0.53207,                 1.2374,                 2.4919,                 1.7183,             0.00023338,             0.00023338,             0.00023338
                      2,                 0.9351,                 1.3943,                 1.2954,                0.87152,                0.78986,                0.88367,                0.68091,                0.80402,                 2.1259,                 1.2471,             0.00043557,             0.00043557,             0.00043557
                      3,                0.86253,                 1.1087,                 1.2338,                0.77693,                0.80072,                0.85262,                0.63409,                0.80827,                 2.0856,                 1.2268,             0.00058825,             0.00058825,             0.00058825
                      4,                0.83579,                0.88408,                 1.1557,                0.94311,                0.81522,                0.92514,                0.67617,                0.93547,                 1.3141,                 1.3805,             0.00069142,             0.00069142,             0.00069142
                      5,                0.80767,                0.81894,                 1.1648,                0.90531,                0.79348,                0.91574,                0.72376,                0.78275,                 1.6221,                 1.2025,             0.00074508,             0.00074508,             0.00074508
                      6,                0.75562,                0.71608,                 1.1184,                0.82305,                0.75838,                0.80833,                0.59894,                0.98345,                 1.6711,                  1.362,             0.00074923,             0.00074923,             0.00074923
                      7,                0.77788,                0.70022,                 1.1376,                0.92828,                0.84412,                0.91359,                0.71007,                0.78363,                0.92491,                 1.1496,              0.0006768,              0.0006768,              0.0006768
                      8,                0.76286,                0.63529,                 1.0809,                0.92014,                0.88043,                0.94875,                0.74862,                0.74816,                0.79494,                 1.1423,              0.0006768,              0.0006768,              0.0006768
                      9,                0.67347,                0.55938,                 1.0609,                0.94967,                0.88406,                0.95385,                0.77202,                0.70417,                0.66274,                 1.1001,             0.00051177,             0.00051177,             0.00051177
                     10,                0.65261,                0.55839,                 1.0562,                 0.9726,                0.93478,                0.98405,                0.82216,                0.63681,                0.54075,                 1.0448,             0.00034674,             0.00034674,             0.00034674
